modelo;ID;ITERACAO;PARAM_ATUAL;MPA_ATUAL;PARAM_MELHOR;MPA_MELHOR;Unnamed: 0
log_sarimax_hill_climb_12m;12;58;11111010001010011001110111;0.1397635505423677;11111010001010011001110111;0.1397635505423677;
log_sarimax_hill_climb_12m;13;1;00001000111110000001010000;0.1362963258197336;00001000111110000001010000;0.1362963258197336;
log_sarimax_hill_climb_12m;14;83;11100010001010001001000110;0.1321833584586799;11100010001010001001000110;0.1321833584586799;
log_sarimax_hill_climb_12m;15;80;00011010111111111011001111;0.1205779637244985;00011010111111111011001111;0.1205779637244985;
log_sarimax_hill_climb_12m;16;81;01111001111110001001100110;0.1202250338129134;01111001111110001001100110;0.1202250338129134;
log_sarimax_hill_climb_12m;17;32;01111001000010101111110100;0.1142165663276951;01111001000010101111110100;0.1142165663276951;
log_sarimax_hill_climb_12m;18;71;01011001000111011101010110;0.1126256411008215;01011001000111011101010110;0.1126256411008215;
log_sarimax_hill_climb_12m;19;14;01001011001100000001111100;0.1080977087418294;01001011001100000001111100;0.1080977087418294;
log_sarimax_hill_climb_12m;20;52;00000010011111110101101101;0.1142045695649021;00000010011111110101101101;0.1142045695649021;
log_sarimax_hill_climb_12m;21;46;10000000010010011010100001;0.1160935894508869;10000000010010011010100001;0.1160935894508869;
log_sarimax_hill_climb_12m;22;66;01010001010111011101110111;0.1126256411008215;01010001010111011101110111;0.1126256411008215;
log_sarimax_hill_climb_12m;23;14;00001010010011010111000000;0.1337681214440945;00001010010011010111000000;0.1337681214440945;
log_sarimax_hill_climb_12m;24;57;10001000010110101011110101;0.1329447774693714;10001000010110101011110101;0.1329447774693714;
log_sarimax_hill_climb_1m;0;16;11001010101100000010000011;0.0029024174055096;11001010101100000010000011;0.0029024174055096;
log_sarimax_hill_climb_1m;1;86;00110100010110001001101100;0.021788204770194;00110100010110001001101100;0.021788204770194;
log_sarimax_hill_climb_1m;2;86;01001101000100110101010001;0.0031029293746546;01001101000100110101010001;0.0031029293746546;
log_sarimax_hill_climb_1m;3;33;00001010011000001111111001;0.0010890534454873;00001010011000001111111001;0.0010890534454873;
log_sarimax_hill_climb_1m;4;8;11000011010010001010110100;0.009444206096802;11000011010010001010110100;0.009444206096802;
log_sarimax_hill_climb_1m;5;16;00001001011010100100110100;0.0343774912531566;00001001011010100100110100;0.0343774912531566;
log_sarimax_hill_climb_1m;6;99;00111001001111000011110001;0.0037528940461391;00111001001111000011110001;0.0037528940461391;
log_sarimax_hill_climb_1m;7;94;10101100111000011101110100;0.0436967569963024;10101100111000011101110100;0.0436967569963024;
log_sarimax_hill_climb_1m;8;39;10101011100101101101001110;0.0046922731937428;10101011100101101101001110;0.0046922731937428;
log_sarimax_hill_climb_1m;9;39;01010001101000001111000011;0.0006154564176962;01010001101000001111000011;0.0006154564176962;
log_sarimax_hill_climb_1m;10;14;11011100101000011011010010;0.0530484871902683;11011100101000011011010010;0.0530484871902683;
log_sarimax_hill_climb_1m;11;8;00110011100110000101001000;0.0420836643989832;00110011100110000101001000;0.0420836643989832;
log_sarimax_hill_climb_1m;12;36;01001110011110110001011100;0.0006563663773843;01001110011110110001011100;0.0006563663773843;
log_sarimax_hill_climb_1m;13;26;01000001110000011111010101;0.0067332849764483;01000001110000011111010101;0.0067332849764483;
log_sarimax_hill_climb_1m;14;7;00111011101111100101010101;0.0325753535125221;00111011101111100101010101;0.0325753535125221;
