;0;1;2;3
474;P2;01110010001001010000111100;Done;
475;C;01110010001001000000111000;Creating SARIMAX;
476;F1;01110010001001000000111000;Before fitting;
477;F2;01110010001001000000111000;After fitting;0.1418638000000101
478;P1;01110010001001000000111000;Done;
479;P2;01110010001001000000111000;Done;
480;C;01111010001001000000111100;Creating SARIMAX;
481;F1;01111010001001000000111100;Before fitting;
482;F2;01111010001001000000111100;After fitting;3.105512000000033
483;P1;01111010001001000000111100;Done;
484;P2;01111010001001000000111100;Done;
485;C;01111010001001100000111000;Creating SARIMAX;
486;F1;01111010001001100000111000;Before fitting;
487;F2;01111010001001100000111000;After fitting;0.13908350000002656
488;P1;01111010001001100000111000;Done;
489;P2;01111010001001100000111000;Done;
490;C;01111010001001100000111100;Creating SARIMAX;
491;F1;01111010001001100000111100;Before fitting;
492;F2;01111010001001100000111100;After fitting;3.2507956000000036
493;P1;01111010001001100000111100;Done;
494;P2;01111010001001100000111100;Done;
495;C;01111010001001100000111100;Creating SARIMAX;
496;F1;01111010001001100000111100;Before fitting;
497;F2;01111010001001100000111100;After fitting;3.0329852000000415
498;P1;01111010001001100000111100;Done;
499;P2;01111010001001100000111100;Done;
500;C;01111010001001100000111100;Creating SARIMAX;
501;F1;01111010001001100000111100;Before fitting;
502;F2;01111010001001100000111100;After fitting;3.1470784999999637
503;P1;01111010001001100000111100;Done;
504;P2;01111010001001100000111100;Done;
505;C;11111010001001100000111100;Creating SARIMAX;
506;F1;11111010001001100000111100;Before fitting;
507;F2;11111010001001100000111100;After fitting;6.9846997000000215
508;P1;11111010001001100000111100;Done;
509;P2;11111010001001100000111100;Done;
510;C;01111010001001100000110100;Creating SARIMAX;
511;F1;01111010001001100000110100;Before fitting;
512;F2;01111010001001100000110100;After fitting;3.1364555999999766
513;P1;01111010001001100000110100;Done;
514;P2;01111010001001100000110100;Done;
515;C;01111010001001100000111100;Creating SARIMAX;
516;F1;01111010001001100000111100;Before fitting;
517;F2;01111010001001100000111100;After fitting;3.1062835000000177
518;P1;01111010001001100000111100;Done;
519;P2;01111010001001100000111100;Done;
520;C;01110010001001101100111100;Creating SARIMAX;
521;F1;01110010001001101100111100;Before fitting;
522;F2;01110010001001101100111100;After fitting;3.403777900000023
523;P1;01110010001001101100111100;Done;
524;P2;01110010001001101100111100;Done;
525;C;01111010001001100000111100;Creating SARIMAX;
526;F1;01111010001001100000111100;Before fitting;
527;F2;01111010001001100000111100;After fitting;3.1686149000000228
528;P1;01111010001001100000111100;Done;
529;P2;01111010001001100000111100;Done;
530;C;01111010001001100000111100;Creating SARIMAX;
531;F1;01111010001001100000111100;Before fitting;
532;F2;01111010001001100000111100;After fitting;3.091686799999991
533;P1;01111010001001100000111100;Done;
534;P2;01111010001001100000111100;Done;
535;C;01111011001001100001111100;Creating SARIMAX;
536;F1;01111011001001100001111100;Before fitting;
537;F2;01111011001001100001111100;After fitting;3.8680421999999908
538;P1;01111011001001100001111100;Done;
539;P2;01111011001001100001111100;Done;
540;C;01111010001001100000111100;Creating SARIMAX;
541;F1;01111010001001100000111100;Before fitting;
542;F2;01111010001001100000111100;After fitting;3.1718128999999635
543;P1;01111010001001100000111100;Done;
544;P2;01111010001001100000111100;Done;
545;C;01111010001001100100111100;Creating SARIMAX;
546;F1;01111010001001100100111100;Before fitting;
547;F2;01111010001001100100111100;After fitting;3.3313377999999716
548;P1;01111010001001100100111100;Done;
549;P2;01111010001001100100111100;Done;
550;C;01111010001001100000111100;Creating SARIMAX;
551;F1;01111010001001100000111100;Before fitting;
552;F2;01111010001001100000111100;After fitting;3.1088962000000038
553;P1;01111010001001100000111100;Done;
554;P2;01111010001001100000111100;Done;
555;C;01111010101001100000111100;Creating SARIMAX;
556;F1;01111010101001100000111100;Before fitting;
557;F2;01111010101001100000111100;After fitting;3.7118183000000045
558;P1;01111010101001100000111100;Done;
559;P2;01111010101001100000111100;Done;
560;C;01111010001001100000111110;Creating SARIMAX;
561;F1;01111010001001100000111110;Before fitting;
562;F2;01111010001001100000111110;After fitting;2.2598052000000166
563;P1;01111010001001100000111110;Done;
564;P2;01111010001001100000111110;Done;
565;C;01111011001001110000111100;Creating SARIMAX;
566;F1;01111011001001110000111100;Before fitting;
567;F2;01111011001001110000111100;After fitting;5.9332943
568;P1;01111011001001110000111100;Done;
569;P2;01111011001001110000111100;Done;
570;C;01111010001001100000111100;Creating SARIMAX;
571;F1;01111010001001100000111100;Before fitting;
572;F2;01111010001001100000111100;After fitting;3.17125759999999
573;P1;01111010001001100000111100;Done;
574;P2;01111010001001100000111100;Done;
575;C;01111010001001101000111100;Creating SARIMAX;
576;F1;01111010001001101000111100;Before fitting;
577;F2;01111010001001101000111100;After fitting;3.1402231000000143
578;P1;01111010001001101000111100;Done;
